cluster_num	sid	gene_i	all_genes_i	gene_j	all_genes_j	subtype	bin_i	chr_i	pos_i	strand_i	bin_j	chr_j	pos_j	strand_j	tile_qval	pval	prob	num_hits	stddev_i	stddev_j	tier
16	TCGA-CN-4728-01A	RP11-421L21.3	"RP11-421L21.3	(DPH5)"	KCNQ3	"KCNQ3"	HNSC	33	1	101496954	-	752	8	133313051	+	0	0	3.60502554526317e-07	26	260.48203726532	236.280297353332	tier 1
16	TCGA-CN-4730-01A	RP11-421L21.3	"RP11-421L21.3	(DPH5)"	KCNQ3	"KCNQ3"	HNSC	33	1	101496971	-	752	8	133312986	+	0	0	3.60502554526317e-07	26	260.48203726532	236.280297353332	tier 1
16	TCGA-CN-4737-01A	RP11-421L21.3	"RP11-421L21.3	(DPH5)"	KCNQ3	"KCNQ3"	HNSC	33	1	101497458	+	752	8	133313451	-	0	0	3.60502554526317e-07	26	260.48203726532	236.280297353332	tier 1
16	TCGA-CN-5366-01A	RP11-421L21.3	"RP11-421L21.3	(DPH5)"	KCNQ3	"KCNQ3"	HNSC	33	1	101497457	+	752	8	133313443	-	0	0	3.60502554526317e-07	26	260.48203726532	236.280297353332	tier 1
16	TCGA-CN-6998-01A	RP11-421L21.3	"RP11-421L21.3	(DPH5)"	KCNQ3	"KCNQ3"	HNSC	33	1	101496939	-	752	8	133313061	+	0	0	3.60502554526317e-07	26	260.48203726532	236.280297353332	tier 1
16	TCGA-CQ-5327-01A	RP11-421L21.3	"RP11-421L21.3	(DPH5)"	KCNQ3	"KCNQ3"	HNSC	33	1	101497475	+	752	8	133313456	-	0	0	3.60502554526317e-07	26	260.48203726532	236.280297353332	tier 1
16	TCGA-CQ-A4CB-01A	RP11-421L21.3	"RP11-421L21.3	(DPH5)"	KCNQ3	"KCNQ3"	HNSC	33	1	101497467	+	752	8	133313469	-	0	0	3.60502554526317e-07	26	260.48203726532	236.280297353332	tier 1
16	TCGA-CR-6474-01A	RP11-421L21.3	"RP11-421L21.3	(DPH5)"	KCNQ3	"KCNQ3"	HNSC	33	1	101496942	-	752	8	133312996	+	0	0	3.60502554526317e-07	26	260.48203726532	236.280297353332	tier 1
16	TCGA-CR-6482-01A	RP11-421L21.3	"RP11-421L21.3	(DPH5)"	KCNQ3	"KCNQ3"	HNSC	33	1	101496934	-	752	8	133312856	+	0	0	3.60502554526317e-07	26	260.48203726532	236.280297353332	tier 1
16	TCGA-CR-7399-01A	RP11-421L21.3	"RP11-421L21.3	(DPH5)"	KCNQ3	"KCNQ3"	HNSC	33	1	101496940	-	752	8	133313020	+	0	0	3.60502554526317e-07	26	260.48203726532	236.280297353332	tier 1
16	TCGA-CV-5441-01A	RP11-421L21.3	"RP11-421L21.3	(DPH5)"	KCNQ3	"KCNQ3"	HNSC	33	1	101496945	-	752	8	133313079	+	0	0	3.60502554526317e-07	26	260.48203726532	236.280297353332	tier 1
16	TCGA-CV-7434-01A	RP11-421L21.3	"RP11-421L21.3	(DPH5)"	KCNQ3	"KCNQ3"	HNSC	33	1	101496920	-	752	8	133313062	+	0	0	3.60502554526317e-07	26	260.48203726532	236.280297353332	tier 1
16	TCGA-CV-7434-01A	RP11-421L21.3	"RP11-421L21.3	(DPH5)"	KCNQ3	"KCNQ3"	HNSC	33	1	101497521	+	752	8	133313478	-	0	0	3.60502554526317e-07	26	260.48203726532	236.280297353332	tier 1
16	TCGA-CV-7446-01A	RP11-421L21.3	"RP11-421L21.3	(DPH5)"	KCNQ3	"KCNQ3"	HNSC	33	1	101497472	+	752	8	133313455	-	0	0	3.60502554526317e-07	26	260.48203726532	236.280297353332	tier 1
16	TCGA-CV-A6JM-01A	RP11-421L21.3	"RP11-421L21.3	(DPH5)"	KCNQ3	"KCNQ3"	HNSC	33	1	101496956	-	752	8	133312995	+	0	0	3.60502554526317e-07	26	260.48203726532	236.280297353332	tier 1
16	TCGA-D6-A6EK-01A	RP11-421L21.3	"RP11-421L21.3	(DPH5)"	KCNQ3	"KCNQ3"	HNSC	33	1	101496945	-	752	8	133312977	+	0	0	3.60502554526317e-07	26	260.48203726532	236.280297353332	tier 1
16	TCGA-HD-8224-01A	RP11-421L21.3	"RP11-421L21.3	(DPH5)"	KCNQ3	"KCNQ3"	HNSC	33	1	101496915	-	752	8	133313009	+	0	0	3.60502554526317e-07	26	260.48203726532	236.280297353332	tier 1
16	TCGA-MT-A67D-01A	RP11-421L21.3	"RP11-421L21.3	(DPH5)"	KCNQ3	"KCNQ3"	HNSC	33	1	101496960	-	752	8	133313007	+	0	0	3.60502554526317e-07	26	260.48203726532	236.280297353332	tier 1
16	TCGA-MZ-A7D7-01A	RP11-421L21.3	"RP11-421L21.3	(DPH5)"	KCNQ3	"KCNQ3"	HNSC	33	1	101496938	-	752	8	133312845	+	0	0	3.60502554526317e-07	26	260.48203726532	236.280297353332	tier 1
16	TCGA-P3-A5Q5-01A	RP11-421L21.3	"RP11-421L21.3	(DPH5)"	KCNQ3	"KCNQ3"	HNSC	33	1	101496951	-	752	8	133312826	+	0	0	3.60502554526317e-07	26	260.48203726532	236.280297353332	tier 1
16	TCGA-P3-A6T0-01A	RP11-421L21.3	"RP11-421L21.3	(DPH5)"	KCNQ3	"KCNQ3"	HNSC	33	1	101497445	+	752	8	133313460	-	0	0	3.60502554526317e-07	26	260.48203726532	236.280297353332	tier 1
16	TCGA-T2-A6WX-01A	RP11-421L21.3	"RP11-421L21.3	(DPH5)"	KCNQ3	"KCNQ3"	HNSC	33	1	101496937	-	752	8	133313038	+	0	0	3.60502554526317e-07	26	260.48203726532	236.280297353332	tier 1
16	TCGA-UF-A718-01A	RP11-421L21.3	"RP11-421L21.3	(DPH5)"	KCNQ3	"KCNQ3"	HNSC	33	1	101497486	+	752	8	133313432	-	0	0	3.60502554526317e-07	26	260.48203726532	236.280297353332	tier 1
17	TCGA-BA-4076-01A	none	"none"	(LURAP1L)	"(LURAP1L)"	HNSC	533	6	67451673	+	773	9	12768916	-	0	0	1.44778322865813e-07	4	21.9165082377037	21.9165082377037	tier 1
17	TCGA-BA-A6DG-01A	none	"none"	(LURAP1L)	"(LURAP1L)"	HNSC	533	6	67451636	+	773	9	12768953	-	0	0	1.44778322865813e-07	4	21.9165082377037	21.9165082377037	tier 1
17	TCGA-CV-7250-01A	none	"none"	(LURAP1L)	"(LURAP1L)"	HNSC	533	6	67451640	+	773	9	12768949	-	0	0	1.44778322865813e-07	4	21.9165082377037	21.9165082377037	tier 1
17	TCGA-IQ-A61L-01A	none	"none"	(LURAP1L)	"(LURAP1L)"	HNSC	533	6	67451621	+	773	9	12768968	-	0	0	1.44778322865813e-07	4	21.9165082377037	21.9165082377037	tier 1
18	TCGA-CQ-5332-01A	PLD5	"PLD5"	ZNF33A	"ZNF33A"	HNSC	75	1	242289852	+	833	10	38308407	+	0	0	1.45441189761123e-07	10	4200.95251236087	4305.86863220161	tier 1
18	TCGA-CQ-A4CG-01A	PLD5	"PLD5"	ZNF33A	"ZNF33A"	HNSC	75	1	242276714	-	833	10	38321958	-	0	0	1.45441189761123e-07	10	4200.95251236087	4305.86863220161	tier 1
18	TCGA-CV-5430-01A	PLD5	"PLD5"	ZNF33A	"ZNF33A"	HNSC	75	1	242276707	-	833	10	38321965	-	0	0	1.45441189761123e-07	10	4200.95251236087	4305.86863220161	tier 1
18	TCGA-CV-7097-01A	PLD5	"PLD5"	ZNF33A	"ZNF33A"	HNSC	75	1	242276748	-	833	10	38321990	-	0	0	1.45441189761123e-07	10	4200.95251236087	4305.86863220161	tier 1
18	TCGA-CV-7248-01A	PLD5	"PLD5"	ZNF33A	"ZNF33A"	HNSC	75	1	242276710	-	833	10	38321975	-	0	0	1.45441189761123e-07	10	4200.95251236087	4305.86863220161	tier 1
18	TCGA-CV-A6JT-01A	PLD5	"PLD5"	ZNF33A	"ZNF33A"	HNSC	75	1	242276714	-	833	10	38321964	-	0	0	1.45441189761123e-07	10	4200.95251236087	4305.86863220161	tier 1
18	TCGA-DQ-7589-01A	PLD5	"PLD5"	ZNF33A	"ZNF33A"	HNSC	75	1	242276731	-	833	10	38321965	-	0	0	1.45441189761123e-07	10	4200.95251236087	4305.86863220161	tier 1
18	TCGA-F7-A50G-01A	PLD5	"PLD5"	ZNF33A	"ZNF33A"	HNSC	75	1	242276130	+	833	10	38322201	+	0	0	1.45441189761123e-07	10	4200.95251236087	4305.86863220161	tier 1
18	TCGA-HD-7917-01A	PLD5	"PLD5"	ZNF33A	"ZNF33A"	HNSC	75	1	242276724	-	833	10	38321967	-	0	0	1.45441189761123e-07	10	4200.95251236087	4305.86863220161	tier 1
18	TCGA-UF-A718-01A	PLD5	"PLD5"	ZNF33A	"ZNF33A"	HNSC	75	1	242276133	+	833	10	38322195	+	0	0	1.45441189761123e-07	10	4200.95251236087	4305.86863220161	tier 1
19	TCGA-BA-4076-01A	EXOC4	"EXOC4"	DOCK1	"DOCK1"	HNSC	658	7	133615847	+	855	10	128889257	-	0	0	1.94808743581657e-07	7	24.1167793790765	25.9413257362144	tier 1
19	TCGA-BA-A6DG-01A	EXOC4	"EXOC4"	DOCK1	"DOCK1"	HNSC	658	7	133615800	+	855	10	128889325	-	0	0	1.94808743581657e-07	7	24.1167793790765	25.9413257362144	tier 1
19	TCGA-CN-5373-01A	EXOC4	"EXOC4"	DOCK1	"DOCK1"	HNSC	658	7	133615827	+	855	10	128889277	-	0	0	1.94808743581657e-07	7	24.1167793790765	25.9413257362144	tier 1
19	TCGA-CV-5970-01A	EXOC4	"EXOC4"	DOCK1	"DOCK1"	HNSC	658	7	133615816	+	855	10	128889287	-	0	0	1.94808743581657e-07	7	24.1167793790765	25.9413257362144	tier 1
19	TCGA-F7-A61V-01A	EXOC4	"EXOC4"	DOCK1	"DOCK1"	HNSC	658	7	133615793	+	855	10	128889310	-	0	0	1.94808743581657e-07	7	24.1167793790765	25.9413257362144	tier 1
19	TCGA-MT-A51X-01A	EXOC4	"EXOC4"	DOCK1	"DOCK1"	HNSC	658	7	133615845	+	855	10	128889268	-	0	0	1.94808743581657e-07	7	24.1167793790765	25.9413257362144	tier 1
19	TCGA-P3-A5QA-01A	EXOC4	"EXOC4"	DOCK1	"DOCK1"	HNSC	658	7	133615788	+	855	10	128889316	-	0	0	1.94808743581657e-07	7	24.1167793790765	25.9413257362144	tier 1
20	TCGA-CN-6992-01A	ABCA13	"ABCA13"	FAT3	"FAT3"	HNSC	590	7	48481782	+	946	11	92183724	+	0	0	1.55496233599742e-07	6	139.739758122018	280.39787207942	tier 1
20	TCGA-CR-6477-01A	ABCA13	"ABCA13"	FAT3	"FAT3"	HNSC	590	7	48481570	-	946	11	92183195	-	0	0	1.55496233599742e-07	6	139.739758122018	280.39787207942	tier 1
20	TCGA-CR-7374-01A	ABCA13	"ABCA13"	FAT3	"FAT3"	HNSC	590	7	48481493	-	946	11	92183187	-	0	0	1.55496233599742e-07	6	139.739758122018	280.39787207942	tier 1
20	TCGA-CR-7389-01A	ABCA13	"ABCA13"	FAT3	"FAT3"	HNSC	590	7	48481818	+	946	11	92183748	+	0	0	1.55496233599742e-07	6	139.739758122018	280.39787207942	tier 1
20	TCGA-HL-7533-01A	ABCA13	"ABCA13"	FAT3	"FAT3"	HNSC	590	7	48481762	+	946	11	92183730	+	0	0	1.55496233599742e-07	6	139.739758122018	280.39787207942	tier 1
20	TCGA-QK-A6II-01A	ABCA13	"ABCA13"	FAT3	"FAT3"	HNSC	590	7	48481817	+	946	11	92183733	+	0	0	1.55496233599742e-07	6	139.739758122018	280.39787207942	tier 1
21	TCGA-CN-A6V3-01A	(MIR548AP)	"(MIR548AP)"	(PRR20A)	"(PRR20A)	(PRR20B)	(PRR20C)	(PRR20D)"	HNSC	28	1	83923738	+	1035	13	57621252	+	0	0	2.34847670514142e-07	4	13.8202749610853	12.8419884233972	tier 1
21	TCGA-CQ-7071-01A	(MIR548AP)	"(MIR548AP)"	(PRR20A)	"(PRR20A)	(PRR20B)	(PRR20C)	(PRR20D)"	HNSC	28	1	83923771	+	1035	13	57621263	+	0	0	2.34847670514142e-07	4	13.8202749610853	12.8419884233972	tier 1
21	TCGA-D6-A6EK-01A	(MIR548AP)	"(MIR548AP)"	(PRR20A)	"(PRR20A)	(PRR20B)	(PRR20C)	(PRR20D)"	HNSC	28	1	83923749	+	1035	13	57621232	+	0	0	2.34847670514142e-07	4	13.8202749610853	12.8419884233972	tier 1
21	TCGA-H7-A6C4-01A	(MIR548AP)	"(MIR548AP)"	(PRR20A)	"(PRR20A)	(PRR20B)	(PRR20C)	(PRR20D)"	HNSC	28	1	83923756	+	1035	13	57621248	+	0	0	2.34847670514142e-07	4	13.8202749610853	12.8419884233972	tier 1
22	TCGA-CN-A63U-01A	MIR3680-1	"MIR3680-1"	GPC5	"GPC5"	HNSC	903	11	63113262	+	1062	13	93511006	+	0	0	1.37953222962217e-07	4	179.961106909243	38.970073988468	tier 1
22	TCGA-CV-5440-01A	MIR3680-1	"MIR3680-1"	GPC5	"GPC5"	HNSC	903	11	63112867	-	1062	13	93510918	-	0	0	1.37953222962217e-07	4	179.961106909243	38.970073988468	tier 1
22	TCGA-CV-7418-01A	MIR3680-1	"MIR3680-1"	GPC5	"GPC5"	HNSC	903	11	63113035	-	1062	13	93510950	-	0	0	1.37953222962217e-07	4	179.961106909243	38.970073988468	tier 1
22	TCGA-QK-A6IJ-01A	MIR3680-1	"MIR3680-1"	GPC5	"GPC5"	HNSC	903	11	63113212	+	1062	13	93510986	+	0	0	1.37953222962217e-07	4	179.961106909243	38.970073988468	tier 1
23	TCGA-BA-4076-01A	none	"none"	(PAX9)	"(PAX9)"	HNSC	794	9	31689071	+	1083	14	37119748	-	0	0	1.34893493511443e-07	4	22.8673712233537	22.3159136044214	tier 1
23	TCGA-H7-8502-01A	none	"none"	(PAX9)	"(PAX9)"	HNSC	794	9	31689045	+	1083	14	37119772	-	0	0	1.34893493511443e-07	4	22.8673712233537	22.3159136044214	tier 1
23	TCGA-H7-A6C4-01A	none	"none"	(PAX9)	"(PAX9)"	HNSC	794	9	31689062	+	1083	14	37119757	-	0	0	1.34893493511443e-07	4	22.8673712233537	22.3159136044214	tier 1
23	TCGA-IQ-A61L-01A	none	"none"	(PAX9)	"(PAX9)"	HNSC	794	9	31689019	+	1083	14	37119799	-	0	0	1.34893493511443e-07	4	22.8673712233537	22.3159136044214	tier 1
24	TCGA-BA-A6DE-01A	(PAPSS1)	"(PAPSS1)"	(LINC00871)	"(LINC00871)"	HNSC	390	4	108304247	+	1092	14	46370239	+	0	0	1.34491328330412e-07	5	53.3179144378323	46.5274112755051	tier 1
24	TCGA-BA-A6DJ-01A	(PAPSS1)	"(PAPSS1)"	(LINC00871)	"(LINC00871)"	HNSC	390	4	108304129	+	1092	14	46370119	+	0	0	1.34491328330412e-07	5	53.3179144378323	46.5274112755051	tier 1
24	TCGA-CV-7089-01A	(PAPSS1)	"(PAPSS1)"	(LINC00871)	"(LINC00871)"	HNSC	390	4	108304267	+	1092	14	46370219	+	0	0	1.34491328330412e-07	5	53.3179144378323	46.5274112755051	tier 1
24	TCGA-CV-A6JO-01B	(PAPSS1)	"(PAPSS1)"	(LINC00871)	"(LINC00871)"	HNSC	390	4	108304223	+	1092	14	46370215	+	0	0	1.34491328330412e-07	5	53.3179144378323	46.5274112755051	tier 1
24	TCGA-QK-A6IJ-01A	(PAPSS1)	"(PAPSS1)"	(LINC00871)	"(LINC00871)"	HNSC	390	4	108304232	+	1092	14	46370195	+	0	0	1.34491328330412e-07	5	53.3179144378323	46.5274112755051	tier 1
25	TCGA-BA-5559-01A	MTCH2	"MTCH2	(C1QTNF4)	(FAM180B)"	RAD51B*	"RAD51B*"	HNSC	885	11	47619129	+	1106	14	68795264	+	0	0	2.85884005277304e-07	20	9055.36428166665	244.550070214885	tier 1
25	TCGA-BA-A6D8-01A	MTCH2	"MTCH2	(C1QTNF4)	(FAM180B)"	RAD51B*	"RAD51B*"	HNSC	885	11	47642120	-	1106	14	68794700	-	0	0	2.85884005277304e-07	20	9055.36428166665	244.550070214885	tier 1
25	TCGA-BA-A6DJ-01A	MTCH2	"MTCH2	(C1QTNF4)	(FAM180B)"	RAD51B*	"RAD51B*"	HNSC	885	11	47642190	-	1106	14	68794770	-	0	0	2.85884005277304e-07	20	9055.36428166665	244.550070214885	tier 1
25	TCGA-CN-4729-01A	MTCH2	"MTCH2	(C1QTNF4)	(FAM180B)"	RAD51B*	"RAD51B*"	HNSC	885	11	47642083	-	1106	14	68794663	-	0	0	2.85884005277304e-07	20	9055.36428166665	244.550070214885	tier 1
25	TCGA-CN-5361-01A	MTCH2	"MTCH2	(C1QTNF4)	(FAM180B)"	RAD51B*	"RAD51B*"	HNSC	885	11	47619143	+	1106	14	68795279	+	0	0	2.85884005277304e-07	20	9055.36428166665	244.550070214885	tier 1
25	TCGA-CN-6012-01A	MTCH2	"MTCH2	(C1QTNF4)	(FAM180B)"	RAD51B*	"RAD51B*"	HNSC	885	11	47642080	-	1106	14	68794660	-	0	0	2.85884005277304e-07	20	9055.36428166665	244.550070214885	tier 1
25	TCGA-CN-A499-01A	MTCH2	"MTCH2	(C1QTNF4)	(FAM180B)"	RAD51B*	"RAD51B*"	HNSC	885	11	47642085	-	1106	14	68794665	-	0	0	2.85884005277304e-07	20	9055.36428166665	244.550070214885	tier 1
25	TCGA-CQ-5334-01A	MTCH2	"MTCH2	(C1QTNF4)	(FAM180B)"	RAD51B*	"RAD51B*"	HNSC	885	11	47619126	+	1106	14	68795260	+	0	0	2.85884005277304e-07	20	9055.36428166665	244.550070214885	tier 1
25	TCGA-CR-7364-01A	MTCH2	"MTCH2	(C1QTNF4)	(FAM180B)"	RAD51B*	"RAD51B*"	HNSC	885	11	47642087	-	1106	14	68794667	-	0	0	2.85884005277304e-07	20	9055.36428166665	244.550070214885	tier 1
25	TCGA-CV-5432-01A	MTCH2	"MTCH2	(C1QTNF4)	(FAM180B)"	RAD51B*	"RAD51B*"	HNSC	885	11	47642108	-	1106	14	68794689	-	0	0	2.85884005277304e-07	20	9055.36428166665	244.550070214885	tier 1
25	TCGA-CV-6937-01A	MTCH2	"MTCH2	(C1QTNF4)	(FAM180B)"	RAD51B*	"RAD51B*"	HNSC	885	11	47623064	+	1106	14	68795282	+	0	0	2.85884005277304e-07	20	9055.36428166665	244.550070214885	tier 1
25	TCGA-CV-7238-01A	MTCH2	"MTCH2	(C1QTNF4)	(FAM180B)"	RAD51B*	"RAD51B*"	HNSC	885	11	47642088	-	1106	14	68794668	-	0	0	2.85884005277304e-07	20	9055.36428166665	244.550070214885	tier 1
25	TCGA-CV-7425-01A	MTCH2	"MTCH2	(C1QTNF4)	(FAM180B)"	RAD51B*	"RAD51B*"	HNSC	885	11	47642080	-	1106	14	68794661	-	0	0	2.85884005277304e-07	20	9055.36428166665	244.550070214885	tier 1
25	TCGA-D6-6515-01A	MTCH2	"MTCH2	(C1QTNF4)	(FAM180B)"	RAD51B*	"RAD51B*"	HNSC	885	11	47642068	-	1106	14	68794648	-	0	0	2.85884005277304e-07	20	9055.36428166665	244.550070214885	tier 1
25	TCGA-D6-8568-01A	MTCH2	"MTCH2	(C1QTNF4)	(FAM180B)"	RAD51B*	"RAD51B*"	HNSC	885	11	47642105	-	1106	14	68794685	-	0	0	2.85884005277304e-07	20	9055.36428166665	244.550070214885	tier 1
25	TCGA-D6-A6EN-01A	MTCH2	"MTCH2	(C1QTNF4)	(FAM180B)"	RAD51B*	"RAD51B*"	HNSC	885	11	47642093	-	1106	14	68794673	-	0	0	2.85884005277304e-07	20	9055.36428166665	244.550070214885	tier 1
25	TCGA-DQ-7594-01A	MTCH2	"MTCH2	(C1QTNF4)	(FAM180B)"	RAD51B*	"RAD51B*"	HNSC	885	11	47642098	-	1106	14	68794677	-	0	0	2.85884005277304e-07	20	9055.36428166665	244.550070214885	tier 1
25	TCGA-MZ-A7D7-01A	MTCH2	"MTCH2	(C1QTNF4)	(FAM180B)"	RAD51B*	"RAD51B*"	HNSC	885	11	47642094	-	1106	14	68794674	-	0	0	2.85884005277304e-07	20	9055.36428166665	244.550070214885	tier 1
25	TCGA-RS-A6TP-01A	MTCH2	"MTCH2	(C1QTNF4)	(FAM180B)"	RAD51B*	"RAD51B*"	HNSC	885	11	47642091	-	1106	14	68794671	-	0	0	2.85884005277304e-07	20	9055.36428166665	244.550070214885	tier 1
25	TCGA-UF-A7JA-01A	MTCH2	"MTCH2	(C1QTNF4)	(FAM180B)"	RAD51B*	"RAD51B*"	HNSC	885	11	47642104	-	1106	14	68794684	-	0	0	2.85884005277304e-07	20	9055.36428166665	244.550070214885	tier 1
26	TCGA-BA-A4IG-01A	(CLDN23)	"(CLDN23)"	CLEC19A	"CLEC19A"	HNSC	675	8	8526082	-	1148	16	19321564	-	0	0	2.3218204623855e-07	23	228.173560942199	108.97241918161	tier 1
26	TCGA-BA-A6DA-01A	(CLDN23)	"(CLDN23)"	CLEC19A	"CLEC19A"	HNSC	675	8	8526134	-	1148	16	19321568	-	0	0	2.3218204623855e-07	23	228.173560942199	108.97241918161	tier 1
26	TCGA-BA-A6DG-01A	(CLDN23)	"(CLDN23)"	CLEC19A	"CLEC19A"	HNSC	675	8	8526638	+	1148	16	19321824	+	0	0	2.3218204623855e-07	23	228.173560942199	108.97241918161	tier 1
26	TCGA-BA-A6DI-01A	(CLDN23)	"(CLDN23)"	CLEC19A	"CLEC19A"	HNSC	675	8	8526044	-	1148	16	19321521	-	0	0	2.3218204623855e-07	23	228.173560942199	108.97241918161	tier 1
26	TCGA-BB-7863-01A	(CLDN23)	"(CLDN23)"	CLEC19A	"CLEC19A"	HNSC	675	8	8526054	-	1148	16	19321624	-	0	0	2.3218204623855e-07	23	228.173560942199	108.97241918161	tier 1
26	TCGA-C9-A480-01A	(CLDN23)	"(CLDN23)"	CLEC19A	"CLEC19A"	HNSC	675	8	8526089	-	1148	16	19321712	-	0	0	2.3218204623855e-07	23	228.173560942199	108.97241918161	tier 1
26	TCGA-CN-4729-01A	(CLDN23)	"(CLDN23)"	CLEC19A	"CLEC19A"	HNSC	675	8	8526038	-	1148	16	19321640	-	0	0	2.3218204623855e-07	23	228.173560942199	108.97241918161	tier 1
26	TCGA-CN-4740-01A	(CLDN23)	"(CLDN23)"	CLEC19A	"CLEC19A"	HNSC	675	8	8526049	-	1148	16	19321592	-	0	0	2.3218204623855e-07	23	228.173560942199	108.97241918161	tier 1
26	TCGA-CN-A63U-01A	(CLDN23)	"(CLDN23)"	CLEC19A	"CLEC19A"	HNSC	675	8	8526050	-	1148	16	19321660	-	0	0	2.3218204623855e-07	23	228.173560942199	108.97241918161	tier 1
26	TCGA-CN-A642-01A	(CLDN23)	"(CLDN23)"	CLEC19A	"CLEC19A"	HNSC	675	8	8526047	-	1148	16	19321530	-	0	0	2.3218204623855e-07	23	228.173560942199	108.97241918161	tier 1
26	TCGA-CN-A6V6-01A	(CLDN23)	"(CLDN23)"	CLEC19A	"CLEC19A"	HNSC	675	8	8526054	-	1148	16	19321559	-	0	0	2.3218204623855e-07	23	228.173560942199	108.97241918161	tier 1
26	TCGA-CQ-5330-01A	(CLDN23)	"(CLDN23)"	CLEC19A	"CLEC19A"	HNSC	675	8	8526061	-	1148	16	19321680	-	0	0	2.3218204623855e-07	23	228.173560942199	108.97241918161	tier 1
26	TCGA-CV-7428-01A	(CLDN23)	"(CLDN23)"	CLEC19A	"CLEC19A"	HNSC	675	8	8526660	+	1148	16	19321884	+	0	0	2.3218204623855e-07	23	228.173560942199	108.97241918161	tier 1
26	TCGA-CX-7219-01A	(CLDN23)	"(CLDN23)"	CLEC19A	"CLEC19A"	HNSC	675	8	8526041	-	1148	16	19321546	-	0	0	2.3218204623855e-07	23	228.173560942199	108.97241918161	tier 1
26	TCGA-D6-6824-01A	(CLDN23)	"(CLDN23)"	CLEC19A	"CLEC19A"	HNSC	675	8	8526063	-	1148	16	19321616	-	0	0	2.3218204623855e-07	23	228.173560942199	108.97241918161	tier 1
26	TCGA-D6-A6EP-01A	(CLDN23)	"(CLDN23)"	CLEC19A	"CLEC19A"	HNSC	675	8	8526141	-	1148	16	19321554	-	0	0	2.3218204623855e-07	23	228.173560942199	108.97241918161	tier 1
26	TCGA-DQ-5624-01A	(CLDN23)	"(CLDN23)"	CLEC19A	"CLEC19A"	HNSC	675	8	8526656	+	1148	16	19321832	+	0	0	2.3218204623855e-07	23	228.173560942199	108.97241918161	tier 1
26	TCGA-DQ-5625-01A	(CLDN23)	"(CLDN23)"	CLEC19A	"CLEC19A"	HNSC	675	8	8526044	-	1148	16	19321582	-	0	0	2.3218204623855e-07	23	228.173560942199	108.97241918161	tier 1
26	TCGA-F7-A623-01A	(CLDN23)	"(CLDN23)"	CLEC19A	"CLEC19A"	HNSC	675	8	8526172	-	1148	16	19321510	-	0	0	2.3218204623855e-07	23	228.173560942199	108.97241918161	tier 1
26	TCGA-HD-7917-01A	(CLDN23)	"(CLDN23)"	CLEC19A	"CLEC19A"	HNSC	675	8	8526657	+	1148	16	19321828	+	0	0	2.3218204623855e-07	23	228.173560942199	108.97241918161	tier 1
26	TCGA-HD-A6I0-01A	(CLDN23)	"(CLDN23)"	CLEC19A	"CLEC19A"	HNSC	675	8	8526076	-	1148	16	19321608	-	0	0	2.3218204623855e-07	23	228.173560942199	108.97241918161	tier 1
26	TCGA-IQ-7631-01A	(CLDN23)	"(CLDN23)"	CLEC19A	"CLEC19A"	HNSC	675	8	8526037	-	1148	16	19321693	-	0	0	2.3218204623855e-07	23	228.173560942199	108.97241918161	tier 1
26	TCGA-MZ-A5BI-01A	(CLDN23)	"(CLDN23)"	CLEC19A	"CLEC19A"	HNSC	675	8	8526071	-	1148	16	19321605	-	0	0	2.3218204623855e-07	23	228.173560942199	108.97241918161	tier 1
27	TCGA-BA-A6DG-01A	PHF11	"PHF11"	DAZAP1	"DAZAP1"	HNSC	1034	13	50094908	-	1275	19	1422666	+	0	0	2.56938756020235e-07	5	15.1756383720752	17.343586710943	tier 1
27	TCGA-CN-4725-01A	PHF11	"PHF11"	DAZAP1	"DAZAP1"	HNSC	1034	13	50094914	-	1275	19	1422677	+	0	0	2.56938756020235e-07	5	15.1756383720752	17.343586710943	tier 1
27	TCGA-CV-7097-01A	PHF11	"PHF11"	DAZAP1	"DAZAP1"	HNSC	1034	13	50094918	-	1275	19	1422656	+	0	0	2.56938756020235e-07	5	15.1756383720752	17.343586710943	tier 1
27	TCGA-F7-8298-01A	PHF11	"PHF11"	DAZAP1	"DAZAP1"	HNSC	1034	13	50094941	-	1275	19	1422634	+	0	0	2.56938756020235e-07	5	15.1756383720752	17.343586710943	tier 1
27	TCGA-H7-A6C4-01A	PHF11	"PHF11"	DAZAP1	"DAZAP1"	HNSC	1034	13	50094901	-	1275	19	1422674	+	0	0	2.56938756020235e-07	5	15.1756383720752	17.343586710943	tier 1
28	TCGA-BA-A6DG-01A	(LINC00663)	"(LINC00663)"	ZNF845	"ZNF845"	HNSC	1302	19	19860649	+	1327	19	53851453	-	0	0	1.18637948681836e-06	4	12.8711563842052	21.9089023002066	tier 1
28	TCGA-F7-A61V-01A	(LINC00663)	"(LINC00663)"	ZNF845	"ZNF845"	HNSC	1302	19	19860673	+	1327	19	53851405	-	0	0	1.18637948681836e-06	4	12.8711563842052	21.9089023002066	tier 1
28	TCGA-IQ-A61L-01A	(LINC00663)	"(LINC00663)"	ZNF845	"ZNF845"	HNSC	1302	19	19860644	+	1327	19	53851441	-	0	0	1.18637948681836e-06	4	12.8711563842052	21.9089023002066	tier 1
28	TCGA-QK-A6IJ-01A	(LINC00663)	"(LINC00663)"	ZNF845	"ZNF845"	HNSC	1302	19	19860660	+	1327	19	53851417	-	0	0	1.18637948681836e-06	4	12.8711563842052	21.9089023002066	tier 1
